pokemon_1,type_1,hp_1,attack_1,defense_1,speed_1,pokemon_2,type_2,hp_2,attack_2,defense_2,speed_2,type_mult_1_vs_2,type_mult_2_vs_1,hp_diff,attack_diff,defense_diff,speed_diff,stat_total_diff,turns,winner
Gyarados,Water,104,47,27,34,Seadra,Water,60,24,33,35,0.5,0.5,44,23,-6,-1,60,6,1
Kadabra,Psychic,60,15,12,44,Hitmonlee,Fighting,60,45,18,36,2.0,0.5,0,-30,-6,8,-28,3,1
Fearow,Normal,71,34,22,42,Venomoth,Bug,77,24,21,37,1.0,1.0,-6,10,1,5,10,3,1
Magmar,Fire,71,36,19,39,Slowpoke,Water,99,24,22,10,0.5,2.0,-28,12,-3,29,10,2,0
Lickitung,Normal,99,20,26,12,Machoke,Fighting,88,38,24,18,1.0,2.0,11,-18,2,-6,-11,2,0
Tauros,Normal,82,38,33,46,Weezing,Poison,71,34,42,25,1.0,1.0,11,4,-9,21,27,5,1
Haunter,Ghost,60,19,15,39,Alakazam,Psychic,60,19,15,50,2.0,1.0,0,0,0,-11,-11,2,1
Machop,Fighting,77,30,17,14,Grimer,Poison,88,30,17,10,0.5,1.0,-11,0,0,4,-7,3,0
Goldeen,Water,60,25,21,26,Gyarados,Water,104,47,27,34,0.5,0.5,-44,-22,-6,-8,-80,4,0
Weezing,Poison,71,34,42,25,Omanyte,Rock,60,15,35,14,0.5,1.0,11,19,7,11,48,8,1
Horsea,Water,60,15,24,25,Hitmonlee,Fighting,60,45,18,36,1.0,1.0,0,-30,6,-11,-35,2,0
Cloyster,Water,60,36,50,29,Mew,Psychic,110,38,35,42,1.0,1.0,-50,-2,15,-13,-50,5,0
Magikarp,Water,60,15,19,33,Cubone,Ground,60,19,33,14,2.0,1.0,0,-4,-14,19,1,4,1
Vaporeon,Water,143,24,21,27,Golem,Rock,88,45,45,18,2.0,1.0,55,-21,-24,9,19,5,1
Muk,Poison,115,39,26,21,Dodrio,Normal,66,41,24,46,1.0,1.0,49,-2,2,-25,24,3,1
Horsea,Water,60,15,24,25,Ditto,Normal,60,18,16,20,1.0,1.0,0,-3,8,5,10,4,1
Pinsir,Bug,71,47,35,35,Mankey,Fighting,60,30,12,29,0.5,0.5,11,17,23,6,57,3,1
Magikarp,Water,60,15,19,33,Graveler,Rock,60,36,40,14,2.0,1.0,0,-21,-21,19,-23,2,0
Magmar,Fire,71,36,19,39,Charmeleon,Fire,63,24,20,33,0.5,0.5,8,12,-1,6,25,5,1
Meowth,Normal,60,17,12,37,Electabuzz,Electric,71,31,19,44,1.0,1.0,-11,-14,-7,-7,-39,2,0
Raticate,Normal,60,30,21,40,Venonat,Bug,66,20,17,18,1.0,1.0,-6,10,4,22,30,3,1
Eevee,Normal,60,20,17,23,Dugtrio,Ground,60,38,17,50,1.0,1.0,0,-18,0,-27,-45,2,0
Dragonair,Dragon,67,31,22,29,Arcanine,Fire,99,41,28,39,1.0,0.5,-32,-10,-6,-10,-58,5,0
Omastar,Rock,77,22,43,23,Nidoran-m,Poison,60,21,14,21,1.0,0.5,17,1,29,2,49,3,1
Ponyta,Fire,60,32,19,37,Caterpie,Bug,60,15,12,18,2.0,0.5,0,17,7,19,43,1,1
Wartortle,Water,64,23,28,24,Seadra,Water,60,24,33,35,0.5,0.5,4,-1,-5,-11,-13,9,0
Poliwrath,Water,99,36,33,29,Gloom,Grass,66,24,24,16,0.5,2.0,33,12,9,13,67,4,0
Koffing,Poison,60,24,33,14,Electrode,Electric,66,19,24,60,1.0,1.0,-6,5,9,-46,-38,4,1
Fearow,Normal,71,34,22,42,Rhydon,Ground,115,49,42,16,1.0,1.0,-44,-15,-20,26,-53,2,0
Slowpoke,Water,99,24,22,10,Venonat,Bug,66,20,17,18,1.0,1.0,33,4,5,-8,34,3,1
Ivysaur,Grass,66,23,22,25,Doduo,Normal,60,32,15,31,1.0,1.0,6,-9,7,-6,-2,3,0
Grimer,Poison,88,30,17,10,Psyduck,Water,60,19,16,23,1.0,1.0,28,11,1,-13,27,2,1
Psyduck,Water,60,19,16,23,Haunter,Ghost,60,19,15,39,1.0,1.0,0,0,1,-16,-15,3,0
Tauros,Normal,82,38,33,46,Kadabra,Psychic,60,15,12,44,1.0,1.0,22,23,21,2,68,2,1
Dewgong,Water,99,26,28,29,Poliwrath,Water,99,36,33,29,0.5,0.5,0,-10,-5,0,-15,10,0
Lapras,Water,143,32,28,25,Rattata,Normal,60,21,12,30,1.0,1.0,83,11,16,-5,105,2,1
Abra,Psychic,60,15,12,37,Cubone,Ground,60,19,33,14,1.0,1.0,0,-4,-21,23,-2,3,0
Kakuna,Bug,60,15,17,14,Primeape,Fighting,71,39,21,39,0.5,0.5,-11,-24,-4,-25,-64,3,0
Graveler,Rock,60,36,40,14,Psyduck,Water,60,19,16,23,1.0,2.0,0,17,24,-9,32,2,1
Mew,Psychic,110,38,35,42,Vaporeon,Water,143,24,21,27,1.0,1.0,-33,14,14,15,10,6,1
Ninetales,Fire,80,28,26,42,Squirtle,Water,60,18,22,18,0.5,2.0,20,10,4,24,58,4,0
Lapras,Water,143,32,28,25,Raichu,Electric,66,34,19,46,1.0,2.0,77,-2,9,-21,63,3,1
Dewgong,Water,99,26,28,29,Ekans,Poison,60,22,15,23,1.0,1.0,39,4,13,6,62,3,1
Mew,Psychic,110,38,35,42,Gloom,Grass,66,24,24,16,1.0,1.0,44,14,11,26,95,3,1
Snorlax,Normal,176,41,22,12,Vileplume,Grass,82,30,29,21,1.0,1.0,94,11,-7,-9,89,4,1
Victreebel,Grass,88,39,22,29,Dodrio,Normal,66,41,24,46,1.0,1.0,22,-2,-2,-17,1,3,1
Victreebel,Grass,88,39,22,29,Scyther,Bug,77,41,28,44,0.5,2.0,11,-2,-6,-15,-12,2,0
Tentacruel,Water,88,26,22,42,Mewtwo,Psychic,116,41,31,54,1.0,1.0,-28,-15,-9,-12,-64,4,0
Tangela,Grass,71,20,40,25,Haunter,Ghost,60,19,15,39,1.0,1.0,11,1,25,-14,23,3,1
Rhydon,Ground,115,49,42,16,Tangela,Grass,71,20,40,25,0.5,2.0,44,29,2,-9,66,7,0
Rapidash,Fire,71,38,24,44,Dratini,Dragon,60,24,15,21,0.5,1.0,11,14,9,23,57,3,1
Cubone,Ground,60,19,33,14,Squirtle,Water,60,18,22,18,1.0,2.0,0,1,11,-4,8,3,0
Doduo,Normal,60,32,15,31,Pidgey,Normal,60,17,14,23,1.0,1.0,0,15,1,8,24,2,1
Venonat,Bug,66,20,17,18,Hypno,Psychic,93,27,24,28,2.0,1.0,-27,-7,-7,-10,-51,3,0
Lapras,Water,143,32,28,25,Scyther,Bug,77,41,28,44,1.0,1.0,66,-9,0,-19,38,5,1
Nidoran-m,Poison,60,21,14,21,Ivysaur,Grass,66,23,22,25,2.0,0.5,-6,-2,-8,-4,-20,2,1
Persian,Normal,71,26,21,48,Wigglytuff,Normal,154,26,15,18,1.0,1.0,-83,0,6,30,-47,4,0
Haunter,Ghost,60,19,15,39,Rattata,Normal,60,21,12,30,0.0,0.0,0,-2,3,9,10,15,1
Lickitung,Normal,99,20,26,12,Exeggutor,Grass,104,36,29,23,1.0,1.0,-5,-16,-3,-11,-35,5,0
Dragonair,Dragon,67,31,22,29,Spearow,Normal,60,22,12,29,1.0,1.0,7,9,10,0,26,2,1
Squirtle,Water,60,18,22,18,Golem,Rock,88,45,45,18,2.0,1.0,-28,-27,-23,0,-78,2,0
Jolteon,Electric,71,24,21,54,Golem,Rock,88,45,45,18,1.0,1.0,-17,-21,-24,36,-26,3,0
Scyther,Bug,77,41,28,44,Moltres,Fire,99,38,31,37,0.5,2.0,-22,3,-3,7,-15,2,0
Tentacruel,Water,88,26,22,42,Vulpix,Fire,60,15,14,27,2.0,0.5,28,11,8,15,62,1,1
Articuno,Ice,99,32,35,35,Venusaur,Grass,88,31,29,33,2.0,1.0,11,1,6,2,20,3,1
Exeggcute,Grass,66,15,28,16,Graveler,Rock,60,36,40,14,2.0,1.0,6,-21,-12,2,-25,3,0
Omanyte,Rock,60,15,35,14,Cloyster,Water,60,36,50,29,1.0,2.0,0,-21,-15,-15,-51,2,0
Raticate,Normal,60,30,21,40,Dodrio,Normal,66,41,24,46,1.0,1.0,-6,-11,-3,-6,-26,2,0
Golbat,Poison,82,30,24,37,Paras,Bug,60,26,19,10,1.0,0.5,22,4,5,27,58,3,1
Charmander,Fire,60,19,15,27,Rattata,Normal,60,21,12,30,1.0,1.0,0,-2,3,-3,-2,3,0
Chansey,Normal,180,15,12,21,Poliwag,Water,60,19,14,37,1.0,1.0,120,-4,-2,-16,98,4,1
Mankey,Fighting,60,30,12,29,Haunter,Ghost,60,19,15,39,0.0,1.0,0,11,-3,-10,-2,3,0
Pidgeot,Normal,91,30,26,42,Golem,Rock,88,45,45,18,0.5,1.0,3,-15,-19,24,-7,4,0
Kadabra,Psychic,60,15,12,44,Ekans,Poison,60,22,15,23,2.0,1.0,0,-7,-3,21,11,2,1
Starmie,Water,66,28,29,48,Growlithe,Fire,60,26,15,25,2.0,0.5,6,2,14,23,45,1,1
Rapidash,Fire,71,38,24,44,Horsea,Water,60,15,24,25,0.5,2.0,11,23,0,19,53,4,0
Nidoran-f,Poison,60,17,18,17,Wartortle,Water,64,23,28,24,1.0,1.0,-4,-6,-10,-7,-27,4,0
Nidorino,Poison,67,27,19,27,Onix,Rock,60,17,50,29,0.5,1.0,7,10,-31,-2,-16,5,0
Nidoran-m,Poison,60,21,14,21,Farfetchd,Normal,60,34,19,25,1.0,1.0,0,-13,-5,-4,-22,2,0
Poliwhirl,Water,71,24,22,37,Tentacool,Water,60,15,12,29,0.5,0.5,11,9,10,8,38,4,1
Charmander,Fire,60,19,15,27,Machamp,Fighting,99,49,28,23,1.0,1.0,-39,-30,-13,4,-78,2,0
Nidoking,Poison,89,38,26,35,Magnemite,Electric,60,15,24,18,1.0,1.0,29,23,2,17,71,3,1
Dragonair,Dragon,67,31,22,29,Poliwag,Water,60,19,14,37,1.0,0.5,7,12,8,-8,19,2,1
Vulpix,Fire,60,15,14,27,Eevee,Normal,60,20,17,23,1.0,1.0,0,-5,-3,4,-4,3,0
Fearow,Normal,71,34,22,42,Omastar,Rock,77,22,43,23,0.5,1.0,-6,12,-21,19,4,4,0
Hypno,Psychic,93,27,24,28,Kangaskhan,Normal,115,36,28,37,1.0,1.0,-22,-9,-4,-9,-44,4,0
Flareon,Fire,71,49,21,27,Charmander,Fire,60,19,15,27,0.5,0.5,11,30,6,0,47,3,1
Marowak,Ground,66,30,38,18,Diglett,Ground,60,20,12,39,1.0,1.0,6,10,26,-21,21,2,1
Poliwrath,Water,99,36,33,29,Seaking,Water,88,34,22,28,0.5,0.5,11,2,11,1,25,7,1
Charmander,Fire,60,19,15,27,Clefairy,Fairy,77,17,16,14,1.0,0.5,-17,2,-1,13,-3,4,1
Jynx,Ice,71,19,12,39,Charizard,Fire,85,31,27,42,0.5,2.0,-14,-12,-15,-3,-44,1,0
Gloom,Grass,66,24,24,16,Venomoth,Bug,77,24,21,37,0.5,2.0,-11,0,3,-21,-29,2,0
Graveler,Rock,60,36,40,14,Shellder,Water,60,24,35,16,1.0,2.0,0,12,5,-2,15,3,0
Starmie,Water,66,28,29,48,Tangela,Grass,71,20,40,25,0.5,2.0,-5,8,-11,23,15,3,0
Voltorb,Electric,60,15,17,42,Doduo,Normal,60,32,15,31,1.0,1.0,0,-17,2,11,-4,2,0
Persian,Normal,71,26,21,48,Vileplume,Grass,82,30,29,21,1.0,1.0,-11,-4,-8,27,4,3,0
Kingler,Water,60,49,40,31,Machoke,Fighting,88,38,24,18,1.0,1.0,-28,11,16,13,12,3,1
Graveler,Rock,60,36,40,14,Scyther,Bug,77,41,28,44,2.0,1.0,-17,-5,12,-30,-40,2,1
Poliwrath,Water,99,36,33,29,Pinsir,Bug,71,47,35,35,1.0,1.0,28,-11,-2,-6,9,5,0
Magneton,Electric,60,22,33,29,Fearow,Normal,71,34,22,42,1.0,1.0,-11,-12,11,-13,-25,4,0
Lapras,Water,143,32,28,25,Seel,Water,71,17,19,18,0.5,0.5,72,15,9,7,103,6,1
Grimer,Poison,88,30,17,10,Drowzee,Psychic,66,18,15,17,1.0,2.0,22,12,2,-7,29,2,1
Marowak,Ground,66,30,38,18,Gloom,Grass,66,24,24,16,0.5,2.0,0,6,14,2,22,3,0
Hypno,Psychic,93,27,24,28,Nidoking,Poison,89,38,26,35,2.0,1.0,4,-11,-2,-7,-16,3,1
Lapras,Water,143,32,28,25,Kangaskhan,Normal,115,36,28,37,1.0,1.0,28,-4,0,-12,12,6,1
Abra,Psychic,60,15,12,37,Exeggcute,Grass,66,15,28,16,1.0,1.0,-6,0,-16,21,-1,3,0
Paras,Bug,60,26,19,10,Scyther,Bug,77,41,28,44,1.0,1.0,-17,-15,-9,-34,-75,2,0
Dewgong,Water,99,26,28,29,Wigglytuff,Normal,154,26,15,18,1.0,1.0,-55,0,13,11,-31,6,1
Golem,Rock,88,45,45,18,Drowzee,Psychic,66,18,15,17,1.0,1.0,22,27,30,1,80,2,1
Blastoise,Water,86,31,35,32,Alakazam,Psychic,60,19,15,50,1.0,1.0,26,12,20,-18,40,2,1
Graveler,Rock,60,36,40,14,Porygon,Normal,71,22,24,16,1.0,0.5,-11,14,16,-2,17,4,1
Vulpix,Fire,60,15,14,27,Starmie,Water,66,28,29,48,0.5,2.0,-6,-13,-15,-21,-55,1,0
Caterpie,Bug,60,15,12,18,Kadabra,Psychic,60,15,12,44,2.0,1.0,0,0,0,-26,-26,2,1
Hypno,Psychic,93,27,24,28,Ninetales,Fire,80,28,26,42,1.0,1.0,13,-1,-2,-14,-4,5,0
Kadabra,Psychic,60,15,12,44,Venusaur,Grass,88,31,29,33,1.0,1.0,-28,-16,-17,11,-50,2,0
Raichu,Electric,66,34,19,46,Rhyhorn,Ground,88,32,33,10,0.0,2.0,-22,2,-14,36,2,2,0
Meowth,Normal,60,17,12,37,Venonat,Bug,66,20,17,18,1.0,1.0,-6,-3,-5,19,5,3,0
Haunter,Ghost,60,19,15,39,Drowzee,Psychic,66,18,15,17,2.0,1.0,-6,1,0,22,17,2,1
Jigglypuff,Normal,126,17,12,10,Exeggutor,Grass,104,36,29,23,1.0,1.0,22,-19,-17,-13,-27,3,0
Tauros,Normal,82,38,33,46,Farfetchd,Normal,60,34,19,25,1.0,1.0,22,4,14,21,61,2,1
Slowpoke,Water,99,24,22,10,Omanyte,Rock,60,15,35,14,2.0,1.0,39,9,-13,-4,31,3,1
Raichu,Electric,66,34,19,46,Aerodactyl,Rock,88,39,22,54,1.0,1.0,-22,-5,-3,-8,-38,2,0
Mr-mime,Psychic,60,17,22,37,Rhyhorn,Ground,88,32,33,10,1.0,1.0,-28,-15,-11,27,-27,3,0
Gloom,Grass,66,24,24,16,Diglett,Ground,60,20,12,39,2.0,0.5,6,4,12,-23,-1,1,1
Scyther,Bug,77,41,28,44,Squirtle,Water,60,18,22,18,1.0,1.0,17,23,6,26,72,2,1
Dragonite,Dragon,100,50,33,33,Weezing,Poison,71,34,42,25,1.0,1.0,29,16,-9,8,44,4,1
Growlithe,Fire,60,26,15,25,Pinsir,Bug,71,47,35,35,2.0,0.5,-11,-21,-20,-10,-62,3,0
Zubat,Poison,60,17,12,23,Clefable,Fairy,104,26,25,25,2.0,0.5,-44,-9,-13,-2,-68,4,0
Sandslash,Ground,82,38,38,27,Poliwag,Water,60,19,14,37,1.0,2.0,22,19,24,-10,55,2,1
Kadabra,Psychic,60,15,12,44,Gloom,Grass,66,24,24,16,1.0,1.0,-6,-9,-12,28,1,2,0
Ditto,Normal,60,18,16,20,Charizard,Fire,85,31,27,42,1.0,1.0,-25,-13,-11,-22,-71,3,0
Starmie,Water,66,28,29,48,Scyther,Bug,77,41,28,44,1.0,1.0,-11,-13,1,4,-19,3,0
Shellder,Water,60,24,35,16,Kabutops,Rock,66,43,36,33,2.0,1.0,-6,-19,-1,-17,-43,3,1
Jynx,Ice,71,19,12,39,Spearow,Normal,60,22,12,29,1.0,1.0,11,-3,0,10,18,3,1
Raticate,Normal,60,30,21,40,Scyther,Bug,77,41,28,44,1.0,1.0,-17,-11,-7,-4,-39,3,0
Electrode,Electric,66,19,24,60,Dugtrio,Ground,60,38,17,50,0.0,2.0,6,-19,7,10,4,2,0
Ninetales,Fire,80,28,26,42,Charizard,Fire,85,31,27,42,0.5,0.5,-5,-3,-1,0,-9,9,0
Zapdos,Electric,99,34,29,42,Kabutops,Rock,66,43,36,33,1.0,1.0,33,-9,-7,9,26,4,1
Seadra,Water,60,24,33,35,Pidgey,Normal,60,17,14,23,1.0,1.0,0,7,19,12,38,3,1
Kakuna,Bug,60,15,17,14,Dragonair,Dragon,67,31,22,29,1.0,1.0,-7,-16,-5,-15,-43,2,0
Seadra,Water,60,24,33,35,Omanyte,Rock,60,15,35,14,2.0,1.0,0,9,-2,21,28,3,1
Rhyhorn,Ground,88,32,33,10,Vulpix,Fire,60,15,14,27,2.0,1.0,28,17,19,-17,47,1,1
Slowbro,Water,104,28,38,12,Magmar,Fire,71,36,19,39,2.0,0.5,33,-8,19,-27,17,2,1
Pidgey,Normal,60,17,14,23,Dodrio,Normal,66,41,24,46,1.0,1.0,-6,-24,-10,-23,-63,2,0
Lickitung,Normal,99,20,26,12,Kadabra,Psychic,60,15,12,44,1.0,1.0,39,5,14,-32,26,3,1
Mankey,Fighting,60,30,12,29,Hypno,Psychic,93,27,24,28,0.5,2.0,-33,3,-12,1,-41,1,0
Slowbro,Water,104,28,38,12,Squirtle,Water,60,18,22,18,0.5,0.5,44,10,16,-6,64,6,1
Drowzee,Psychic,66,18,15,17,Poliwag,Water,60,19,14,37,1.0,1.0,6,-1,1,-20,-14,3,1
Porygon,Normal,71,22,24,16,Charmeleon,Fire,63,24,20,33,1.0,1.0,8,-2,4,-17,-7,4,1
Clefable,Fairy,104,26,25,25,Tauros,Normal,82,38,33,46,1.0,1.0,22,-12,-8,-21,-19,5,0
Raichu,Electric,66,34,19,46,Persian,Normal,71,26,21,48,1.0,1.0,-5,8,-2,-2,-1,3,0
Jigglypuff,Normal,126,17,12,10,Butterfree,Bug,66,17,17,29,1.0,1.0,60,0,-5,-19,36,4,1
Machamp,Fighting,99,49,28,23,Scyther,Bug,77,41,28,44,0.5,0.5,22,8,0,-21,9,6,1
Spearow,Normal,60,22,12,29,Clefairy,Fairy,77,17,16,14,1.0,1.0,-17,5,-4,15,-1,3,0
Marowak,Ground,66,30,38,18,Dragonite,Dragon,100,50,33,33,1.0,1.0,-34,-20,5,-15,-64,4,0
Shellder,Water,60,24,35,16,Venonat,Bug,66,20,17,18,1.0,1.0,-6,4,18,-2,14,3,1
Hitmonlee,Fighting,60,45,18,36,Mankey,Fighting,60,30,12,29,1.0,1.0,0,15,6,7,28,2,1
Gastly,Ghost,60,15,12,33,Aerodactyl,Rock,88,39,22,54,1.0,1.0,-28,-24,-10,-21,-83,2,0
Pinsir,Bug,71,47,35,35,Nidoran-m,Poison,60,21,14,21,0.5,1.0,11,26,21,14,72,3,1
Krabby,Water,60,39,31,21,Magnemite,Electric,60,15,24,18,1.0,2.0,0,24,7,3,34,3,1
Dugtrio,Ground,60,38,17,50,Chansey,Normal,180,15,12,21,1.0,1.0,-120,23,5,29,-63,4,1
Horsea,Water,60,15,24,25,Rapidash,Fire,71,38,24,44,2.0,0.5,-11,-23,0,-19,-53,3,1
Electrode,Electric,66,19,24,60,Vulpix,Fire,60,15,14,27,1.0,1.0,6,4,10,33,53,3,1
Kadabra,Psychic,60,15,12,44,Bulbasaur,Grass,60,18,17,18,1.0,1.0,0,-3,-5,26,18,3,0
Magmar,Fire,71,36,19,39,Haunter,Ghost,60,19,15,39,1.0,1.0,11,17,4,0,32,2,1
Articuno,Ice,99,32,35,35,Kabutops,Rock,66,43,36,33,1.0,2.0,33,-11,-1,2,23,3,0
Golduck,Water,88,31,27,35,Dragonair,Dragon,67,31,22,29,0.5,1.0,21,0,5,6,32,5,0
Jigglypuff,Normal,126,17,12,10,Goldeen,Water,60,25,21,26,1.0,1.0,66,-8,-9,-16,33,5,0
Primeape,Fighting,71,39,21,39,Horsea,Water,60,15,24,25,1.0,1.0,11,24,-3,14,46,3,1
Lickitung,Normal,99,20,26,12,Kadabra,Psychic,60,15,12,44,1.0,1.0,39,5,14,-32,26,3,1
Dratini,Dragon,60,24,15,21,Nidoran-f,Poison,60,17,18,17,1.0,1.0,0,7,-3,4,8,3,1
Zubat,Poison,60,17,12,23,Machop,Fighting,77,30,17,14,1.0,0.5,-17,-13,-5,9,-26,3,0
Gyarados,Water,104,47,27,34,Tauros,Normal,82,38,33,46,1.0,1.0,22,9,-6,-12,13,4,1
Doduo,Normal,60,32,15,31,Venonat,Bug,66,20,17,18,1.0,1.0,-6,12,-2,13,17,3,1
Dragonite,Dragon,100,50,33,33,Venonat,Bug,66,20,17,18,1.0,1.0,34,30,16,15,95,2,1
Drowzee,Psychic,66,18,15,17,Tangela,Grass,71,20,40,25,1.0,1.0,-5,-2,-25,-8,-40,3,0
Krabby,Water,60,39,31,21,Rattata,Normal,60,21,12,30,1.0,1.0,0,18,19,-9,28,2,1
Dugtrio,Ground,60,38,17,50,Pidgeotto,Normal,69,22,19,29,1.0,1.0,-9,16,-2,21,26,3,1
Machoke,Fighting,88,38,24,18,Weedle,Bug,60,15,12,21,0.5,0.5,28,23,12,-3,60,3,1
Kingler,Water,60,49,40,31,Krabby,Water,60,39,31,21,0.5,0.5,0,10,9,10,29,5,1
Kangaskhan,Normal,115,36,28,37,Eevee,Normal,60,20,17,23,1.0,1.0,55,16,11,14,96,2,1
Horsea,Water,60,15,24,25,Ninetales,Fire,80,28,26,42,2.0,0.5,-20,-13,-2,-17,-52,4,1
Weepinbell,Grass,71,34,17,23,Ponyta,Fire,60,32,19,37,0.5,2.0,11,2,-2,-14,-3,2,0
Metapod,Bug,60,15,19,12,Magikarp,Water,60,15,19,33,1.0,1.0,0,0,0,-21,-21,5,0
Exeggutor,Grass,104,36,29,23,Jolteon,Electric,71,24,21,54,1.0,0.5,33,12,8,-31,22,3,1
Dratini,Dragon,60,24,15,21,Sandshrew,Ground,60,28,29,16,1.0,1.0,0,-4,-14,5,-13,3,0
Nidoqueen,Poison,99,34,30,31,Eevee,Normal,60,20,17,23,1.0,1.0,39,14,13,8,74,2,1
Caterpie,Bug,60,15,12,18,Rattata,Normal,60,21,12,30,1.0,1.0,0,-6,0,-12,-18,3,0
Shellder,Water,60,24,35,16,Gastly,Ghost,60,15,12,33,1.0,1.0,0,9,23,-17,15,2,1
Geodude,Rock,60,30,35,10,Pidgeot,Normal,91,30,26,42,1.0,0.5,-31,0,9,-32,-54,5,1
Jynx,Ice,71,19,12,39,Arcanine,Fire,99,41,28,39,0.5,2.0,-28,-22,-16,0,-66,1,0
Charizard,Fire,85,31,27,42,Raticate,Normal,60,30,21,40,1.0,1.0,25,1,6,2,34,3,1
Mewtwo,Psychic,116,41,31,54,Voltorb,Electric,60,15,17,42,1.0,1.0,56,26,14,12,108,2,1
Chansey,Normal,180,15,12,21,Nidoran-f,Poison,60,17,18,17,1.0,1.0,120,-2,-6,4,116,4,1
Pikachu,Electric,60,20,14,37,Omanyte,Rock,60,15,35,14,1.0,1.0,0,5,-21,23,7,4,0
Caterpie,Bug,60,15,12,18,Porygon,Normal,71,22,24,16,1.0,1.0,-11,-7,-12,2,-28,2,0
Koffing,Poison,60,24,33,14,Fearow,Normal,71,34,22,42,1.0,1.0,-11,-10,11,-28,-38,4,0
Gyarados,Water,104,47,27,34,Moltres,Fire,99,38,31,37,2.0,0.5,5,9,-4,-3,7,2,1
Nidoking,Poison,89,38,26,35,Poliwhirl,Water,71,24,22,37,1.0,1.0,18,14,4,-2,34,3,1
Electabuzz,Electric,71,31,19,44,Magikarp,Water,60,15,19,33,2.0,1.0,11,16,0,11,38,2,1
Kabutops,Rock,66,43,36,33,Magikarp,Water,60,15,19,33,1.0,2.0,6,28,17,0,51,2,1
Wigglytuff,Normal,154,26,15,18,Mew,Psychic,110,38,35,42,1.0,1.0,44,-12,-20,-24,-12,4,0
Victreebel,Grass,88,39,22,29,Venusaur,Grass,88,31,29,33,0.5,0.5,0,8,-7,-4,-3,8,0
Venomoth,Bug,77,24,21,37,Farfetchd,Normal,60,34,19,25,1.0,1.0,17,-10,2,12,21,3,1
Bellsprout,Grass,60,28,12,16,Ivysaur,Grass,66,23,22,25,0.5,0.5,-6,5,-10,-9,-20,4,0
Exeggcute,Grass,66,15,28,16,Mr-mime,Psychic,60,17,22,37,1.0,1.0,6,-2,6,-21,-11,5,1
Wigglytuff,Normal,154,26,15,18,Lickitung,Normal,99,20,26,12,1.0,1.0,55,6,-11,6,56,6,1
Tangela,Grass,71,20,40,25,Exeggutor,Grass,104,36,29,23,0.5,0.5,-33,-16,11,2,-36,11,0
Krabby,Water,60,39,31,21,Goldeen,Water,60,25,21,26,0.5,0.5,0,14,10,-5,19,5,1
Bellsprout,Grass,60,28,12,16,Seadra,Water,60,24,33,35,2.0,0.5,0,4,-21,-19,-36,2,1
Eevee,Normal,60,20,17,23,Paras,Bug,60,26,19,10,1.0,1.0,0,-6,-2,13,5,3,0
Mewtwo,Psychic,116,41,31,54,Zubat,Poison,60,17,12,23,2.0,1.0,56,24,19,31,130,1,1
Dewgong,Water,99,26,28,29,Seel,Water,71,17,19,18,0.5,0.5,28,9,9,11,57,7,1
Weedle,Bug,60,15,12,21,Rhydon,Ground,115,49,42,16,1.0,0.5,-55,-34,-30,5,-114,3,0
Weezing,Poison,71,34,42,25,Fearow,Normal,71,34,22,42,1.0,1.0,0,0,20,-17,3,3,1
Kabutops,Rock,66,43,36,33,Bellsprout,Grass,60,28,12,16,1.0,2.0,6,15,24,17,62,1,1
Omanyte,Rock,60,15,35,14,Electrode,Electric,66,19,24,60,1.0,1.0,-6,-4,11,-46,-45,7,0
Eevee,Normal,60,20,17,23,Magikarp,Water,60,15,19,33,1.0,1.0,0,5,-2,-10,-7,4,0
Weepinbell,Grass,71,34,17,23,Weedle,Bug,60,15,12,21,0.5,2.0,11,19,5,2,37,3,1
Ivysaur,Grass,66,23,22,25,Magneton,Electric,60,22,33,29,1.0,0.5,6,1,-11,-4,-8,6,1
Grimer,Poison,88,30,17,10,Ponyta,Fire,60,32,19,37,1.0,1.0,28,-2,-2,-27,-3,3,0
Omastar,Rock,77,22,43,23,Raticate,Normal,60,30,21,40,1.0,0.5,17,-8,22,-17,14,4,1
Mankey,Fighting,60,30,12,29,Goldeen,Water,60,25,21,26,1.0,1.0,0,5,-9,3,-1,2,0
Nidoran-m,Poison,60,21,14,21,Tentacruel,Water,88,26,22,42,1.0,1.0,-28,-5,-8,-21,-62,2,0
Gloom,Grass,66,24,24,16,Tentacruel,Water,88,26,22,42,2.0,0.5,-22,-2,2,-26,-48,3,1
Mewtwo,Psychic,116,41,31,54,Charizard,Fire,85,31,27,42,1.0,1.0,31,10,4,12,57,4,1
Gloom,Grass,66,24,24,16,Doduo,Normal,60,32,15,31,1.0,1.0,6,-8,9,-15,-8,3,0
Persian,Normal,71,26,21,48,Weedle,Bug,60,15,12,21,1.0,1.0,11,11,9,27,58,2,1
Vulpix,Fire,60,15,14,27,Rhydon,Ground,115,49,42,16,1.0,2.0,-55,-34,-28,11,-106,1,0
Kadabra,Psychic,60,15,12,44,Squirtle,Water,60,18,22,18,1.0,1.0,0,-3,-10,26,13,3,0
Flareon,Fire,71,49,21,27,Seaking,Water,88,34,22,28,0.5,2.0,-17,15,-1,-1,-4,2,0
Cubone,Ground,60,19,33,14,Persian,Normal,71,26,21,48,1.0,1.0,-11,-7,12,-34,-40,5,0
Starmie,Water,66,28,29,48,Machoke,Fighting,88,38,24,18,1.0,1.0,-22,-10,5,30,3,3,0
